x,y,part.a,part.b,dist,soil,ffreq
181180,333740,1,0,0,1,1
181140,333700,1,0,0,1,1
181180,333700,1,0,0.0122243,1,1
181220,333700,1,0,0.0434678,1,1
181100,333660,1,0,0,1,1
181140,333660,1,0,0.0122243,1,1
181180,333660,1,0,0.0373395,1,1
181220,333660,1,0,0.0593662,1,1
181060,333620,1,0,0.00135803,1,1
181100,333620,1,0,0.0122243,1,1
181140,333620,1,0,0.0373395,1,1
181180,333620,1,0,0.0593662,1,1
181220,333620,1,0,0.0812247,1,1
181260,333620,1,0,0.101178,1,1
181020,333580,1,0,0,1,1
181060,333580,1,0,0.0122243,1,1
181100,333580,1,0,0.0484855,1,1
181140,333580,1,0,0.0593662,1,1
181180,333580,1,0,0.0812247,1,1
181220,333580,1,0,0.103029,1,1
181260,333580,1,0,0.12481,2,1
181300,333580,1,0,0.152165,2,1
180980,333540,1,0,0,1,1
181020,333540,1,0,0.0122243,1,1
181060,333540,1,0,0.0373395,1,1
181100,333540,1,0,0.0593662,1,1
181140,333540,1,0,0.0921488,1,1
181180,333540,1,0,0.103029,1,1
181220,333540,1,0,0.12481,1,1
181260,333540,1,0,0.146578,2,1
181300,333540,1,0,0.166504,2,1
180940,333500,1,0,0,1,1
180980,333500,1,0,0.0122243,1,1
181020,333500,1,0,0.0373395,1,1
181060,333500,1,0,0.0593662,1,1
181100,333500,1,0,0.0812247,1,1
181140,333500,1,0,0.103029,1,1
181180,333500,1,0,0.135698,1,1
181220,333500,1,0,0.146578,1,1
181260,333500,1,0,0.168339,2,1
181300,333500,1,0,0.190094,2,1
181340,333500,1,0,0.206375,2,1
180940,333460,1,0,0.00135803,1,1
180980,333460,1,0,0.0316663,1,1
181020,333460,1,0,0.0593636,1,1
181060,333460,1,0,0.0812247,1,1
181100,333460,1,0,0.103029,1,1
181140,333460,1,0,0.12481,1,1
181180,333460,1,0,0.146578,1,1
181220,333460,1,0,0.179213,2,1
181260,333460,1,0,0.190094,2,1
181300,333460,1,0,0.211846,2,1
181340,333460,1,0,0.233596,2,1
180900,333420,1,0,0,1,1
180940,333420,1,0,0.0122243,1,1
180980,333420,1,0,0.0484884,1,1
181020,333420,1,0,0.0756869,1,1
181060,333420,1,0,0.103027,1,1
181100,333420,1,0,0.12481,2,1
181140,333420,1,0,0.146578,2,1
181180,333420,1,0,0.168339,2,1
181220,333420,1,0,0.190094,2,1
181260,333420,1,0,0.222715,2,1
181300,333420,1,0,0.233596,2,1
181340,333420,1,0,0.255343,2,1
181380,333420,1,0,0.275265,2,1
180860,333380,1,0,0,1,1
180900,333380,1,0,0.0054321,1,1
180940,333380,1,0,0.0373369,1,1
180980,333380,1,0,0.0593662,1,1
181020,333380,1,0,0.0921516,1,1
181060,333380,1,0,0.119308,1,1
181100,333380,1,0,0.146576,2,1
181140,333380,1,0,0.168339,2,1
181180,333380,1,0,0.190094,2,1
181220,333380,1,0,0.211846,2,1
181260,333380,1,0,0.233596,2,1
181300,333380,1,0,0.266209,2,1
181340,333380,1,0,0.27709,2,1
181380,333380,1,0,0.298835,2,1
181420,333380,1,0,0.326079,2,1
180860,333340,1,0,0,1,1
180900,333340,1,0,0.0264645,1,1
180940,333340,1,0,0.0537889,1,1
180980,333340,1,0,0.081222,1,1
181020,333340,1,0,0.103029,1,1
181060,333340,1,0,0.1357,1,1
181100,333340,1,0,0.162853,2,1
181140,333340,1,0,0.190091,2,1
181180,333340,1,0,0.211846,2,1
181220,333340,1,0,0.233596,2,1
181260,333340,1,0,0.255343,2,1
181300,333340,1,0,0.27709,2,1
181340,333340,1,0,0.309699,2,1
181380,333340,1,0,0.32058,2,1
181420,333340,1,0,0.342324,2,1
180820,333300,1,0,0,1,1
180860,333300,1,0,0.0054321,1,1
180900,333300,1,0,0.0373369,1,1
180940,333300,1,0,0.0703468,1,1
180980,333300,1,0,0.0975136,1,1
181020,333300,1,0,0.124808,1,1
181060,333300,1,0,0.146578,1,1
181100,333300,1,0,0.179216,1,1
181140,333300,1,0,0.20637,2,1
181180,333300,1,0,0.233593,2,1
181220,333300,1,0,0.255343,2,1
181260,333300,1,0,0.27709,2,1
181300,333300,1,0,0.298835,2,1
181340,333300,1,0,0.32058,2,1
181380,333300,1,0,0.353186,2,1
181420,333300,1,0,0.364067,2,1
181460,333300,1,0,0.380356,2,2
180820,333260,1,0,0,1,1
180860,333260,1,0,0.0264645,1,1
180900,333260,1,0,0.0537889,1,1
180940,333260,1,0,0.081222,1,1
180980,333260,1,0,0.113932,1,1
181020,333260,1,0,0.141086,1,1
181060,333260,1,0,0.168336,1,1
181100,333260,1,0,0.190094,2,1
181140,333260,1,0,0.222718,2,1
181180,333260,1,0,0.249874,2,1
181220,333260,1,0,0.277087,2,1
181260,333260,1,0,0.298835,2,1
181300,333260,1,0,0.32058,2,1
181340,333260,1,0,0.342324,2,1
181380,333260,1,0,0.364067,2,1
181420,333260,1,0,0.396672,2,2
181460,333260,1,0,0.407552,2,2
180780,333220,1,0,0,1,1
180820,333220,1,0,0.0054321,1,1
180860,333220,1,0,0.0373369,1,2
180900,333220,1,0,0.0703468,1,1
180940,333220,1,0,0.0975136,1,1
180980,333220,1,0,0.124808,1,1
181020,333220,1,0,0.157461,1,1
181060,333220,1,0,0.184614,1,1
181100,333220,1,0,0.211843,2,1
181140,333220,1,0,0.233596,2,1
181180,333220,1,0,0.266212,2,1
181220,333220,1,0,0.29337,2,1
181260,333220,1,0,0.320577,2,1
181300,333220,1,0,0.342324,2,1
181340,333220,1,0,0.364067,2,1
181380,333220,1,0,0.38581,2,1
181420,333220,1,0,0.407552,2,2
181460,333220,1,0,0.440156,2,2
181500,333220,1,0,0.456516,2,2
180780,333180,1,0,0,1,1
180820,333180,1,0,0.0264645,1,1
180860,333180,1,0,0.0537889,1,2
180900,333180,1,0,0.081222,1,1
180940,333180,1,0,0.113932,1,1
180980,333180,1,0,0.141086,1,1
181020,333180,1,0,0.168336,1,1
181060,333180,1,0,0.200968,1,1
181100,333180,1,0,0.228123,2,1
181140,333180,1,0,0.255341,2,1
181180,333180,1,0,0.27709,2,1
181220,333180,1,0,0.309702,2,1
181260,333180,1,0,0.336861,2,1
181300,333180,1,0,0.364064,2,1
181340,333180,1,0,0.38581,2,1
181380,333180,1,0,0.407552,2,2
181420,333180,1,0,0.429295,2,2
181460,333180,1,0,0.451037,2,2
181500,333180,1,0,0.483639,2,2
181540,333180,1,0,0.5,2,2
180780,333140,1,0,0.0054321,1,1
180820,333140,1,0,0.0373369,1,1
180860,333140,1,0,0.0703468,1,2
180900,333140,1,0,0.0975136,1,1
180940,333140,1,0,0.124808,1,1
180980,333140,1,0,0.157461,1,1
181020,333140,1,0,0.184614,1,1
181060,333140,1,0,0.211843,1,1
181100,333140,1,0,0.244466,2,1
181140,333140,1,0,0.271622,2,1
181180,333140,1,0,0.298832,2,1
181220,333140,1,0,0.32058,2,1
181260,333140,1,0,0.353189,2,1
181300,333140,1,0,0.38035,2,1
181340,333140,1,0,0.40755,2,2
181380,333140,1,0,0.429295,2,2
181420,333140,1,0,0.451037,2,2
181460,333140,1,0,0.472778,2,2
181500,333140,1,0,0.49452,2,2
181540,333140,1,0,0.521728,2,2
180740,333100,1,0,0,1,1
180780,333100,1,0,0.0122243,1,1
180820,333100,1,0,0.0537778,1,2
180860,333100,1,0,0.0812194,1,2
180900,333100,1,0,0.113932,1,2
180940,333100,1,0,0.141086,1,1
180980,333100,1,0,0.168336,1,2
181020,333100,1,0,0.200968,1,2
181060,333100,1,0,0.228123,1,1
181100,333100,1,0,0.255341,2,1
181140,333100,1,0,0.287957,2,1
181180,333100,1,0,0.315116,2,1
181220,333100,1,0,0.342321,2,1
181260,333100,1,0,0.364067,2,1
181300,333100,1,0,0.396675,2,1
181340,333100,1,0,0.423837,2,2
181380,333100,1,0,0.451034,2,2
181420,333100,1,0,0.472778,2,2
181460,333100,1,0,0.49452,2,2
181500,333100,1,0,0.516261,2,2
180700,333060,1,0,0,1,1
180740,333060,1,0,0.0054321,1,1
180780,333060,1,0,0.0373369,1,1
180820,333060,1,0,0.0593662,1,2
180860,333060,1,0,0.0975026,1,2
180900,333060,1,0,0.124805,1,2
180940,333060,1,0,0.157461,1,2
180980,333060,1,0,0.184614,1,2
181020,333060,1,0,0.211843,1,2
181060,333060,1,0,0.244466,1,1
181100,333060,1,0,0.271622,1,1
181140,333060,1,0,0.298832,2,1
181180,333060,1,0,0.331446,2,1
181220,333060,1,0,0.358606,2,1
181260,333060,1,0,0.385807,2,3
181300,333060,1,0,0.407552,2,3
181340,333060,1,0,0.440159,2,1
181380,333060,1,0,0.467322,2,2
181420,333060,1,0,0.494517,2,2
181460,333060,1,0,0.516261,2,2
181500,333060,1,0,0.532553,2,2
180700,333020,1,0,0,1,1
180740,333020,1,0,0.0264645,1,1
180780,333020,1,0,0.0537889,1,2
180820,333020,1,0,0.081222,1,2
180860,333020,1,0,0.103029,1,2
180900,333020,1,0,0.141075,1,2
180940,333020,1,0,0.168333,1,2
180980,333020,1,0,0.200968,1,2
181020,333020,1,0,0.228123,1,2
181060,333020,1,0,0.255341,1,1
181100,333020,1,0,0.287957,1,1
181140,333020,1,0,0.315116,2,1
181180,333020,1,0,0.342321,2,1
181220,333020,1,0,0.374932,2,1
181260,333020,1,0,0.402094,2,3
181300,333020,1,0,0.429292,2,3
181340,333020,1,0,0.451037,2,1
181380,333020,1,0,0.483642,2,2
181420,333020,1,0,0.510806,2,2
181460,333020,1,0,0.537999,2,2
180660,332980,1,0,0,1,1
180700,332980,1,0,0.0122243,1,1
180740,332980,1,0,0.0373395,1,2
180780,332980,1,0,0.0703468,1,2
180820,332980,1,0,0.0975136,1,2
180860,332980,1,0,0.124808,1,2
180900,332980,1,0,0.146578,1,2
180940,332980,1,0,0.184603,1,2
180980,332980,1,0,0.211841,1,2
181020,332980,1,0,0.244466,1,2
181060,332980,1,0,0.271622,1,2
181100,332980,1,0,0.298832,2,2
181140,332980,1,0,0.331446,2,1
181180,332980,1,0,0.358606,2,1
181220,332980,1,0,0.385807,2,3
181260,332980,1,0,0.418417,2,3
181300,332980,1,0,0.44558,2,3
181340,332980,1,0,0.472776,2,1
181380,332980,1,0,0.49452,2,2
181420,332980,1,0,0.527124,2,2
181460,332980,1,0,0.543478,2,2
180660,332940,1,0,0,1,1
180700,332940,1,0,0.0316606,1,1
180740,332940,1,0,0.059361,1,2
180780,332940,1,0,0.0812247,1,2
180820,332940,1,0,0.113932,1,2
180860,332940,1,0,0.141086,1,2
180900,332940,1,0,0.168336,1,2
180940,332940,1,0,0.190094,1,2
180980,332940,1,0,0.228112,1,2
181020,332940,1,0,0.255338,1,2
181060,332940,1,0,0.287957,1,2
181100,332940,1,0,0.315116,2,2
181140,332940,1,0,0.342321,2,2
181180,332940,1,0,0.374932,2,2
181220,332940,1,0,0.402094,2,3
181260,332940,1,0,0.429292,2,3
181300,332940,1,0,0.4619,2,3
181340,332940,1,0,0.489064,2,1
181380,332940,1,0,0.516258,2,2
181420,332940,1,0,0.538002,2,2
180620,332900,1,0,0,1,1
180660,332900,1,0,0.0054321,1,1
180700,332900,1,0,0.0373369,1,2
180740,332900,1,0,0.0756759,1,2
180780,332900,1,0,0.103024,1,2
180820,332900,1,0,0.12481,1,2
180860,332900,1,0,0.157461,1,2
180900,332900,1,0,0.184614,1,3
180940,332900,1,0,0.211843,1,3
180980,332900,1,0,0.233596,1,3
181020,332900,1,0,0.271611,1,3
181060,332900,1,0,0.29883,2,2
181100,332900,1,0,0.331446,2,2
181140,332900,1,0,0.358606,2,1
181180,332900,1,0,0.385807,2,3
181220,332900,1,0,0.418417,2,3
181260,332900,1,0,0.44558,2,3
181300,332900,1,0,0.472776,2,3
181340,332900,1,0,0.505383,2,3
181380,332900,1,0,0.532548,2,3
181420,332900,1,0,0.554289,2,2
180620,332860,1,0,0,1,1
180660,332860,1,0,0.0264645,1,1
180700,332860,1,0,0.0537889,1,2
180740,332860,1,0,0.081222,1,2
180780,332860,1,0,0.119297,1,2
180820,332860,1,0,0.146573,1,2
180860,332860,1,0,0.168339,1,2
180900,332860,1,0,0.200968,1,3
180940,332860,1,0,0.228123,1,3
180980,332860,1,0,0.255341,1,3
181020,332860,1,0,0.27709,1,3
181060,332860,1,0,0.315105,2,3
181100,332860,1,0,0.342318,2,2
181140,332860,1,0,0.374932,2,1
181180,332860,1,0,0.402094,2,3
181220,332860,1,0,0.429292,2,3
181260,332860,1,0,0.4619,2,3
181300,332860,1,0,0.489064,2,3
181340,332860,1,0,0.516258,2,3
181380,332860,1,0,0.548865,2,3
180620,332820,1,0,0.00135803,1,1
180660,332820,1,0,0.0316663,1,2
180700,332820,1,0,0.0703387,1,2
180740,332820,1,0,0.0975136,1,2
180780,332820,1,0,0.124808,1,2
180820,332820,1,0,0.162842,1,2
180860,332820,1,0,0.190089,1,2
180900,332820,1,0,0.211846,1,2
180940,332820,1,0,0.244466,1,2
180980,332820,1,0,0.271622,1,2
181020,332820,1,0,0.298832,2,1
181060,332820,1,0,0.32058,2,3
181100,332820,1,0,0.358595,2,3
181140,332820,1,0,0.385804,2,3
181180,332820,1,0,0.418417,2,1
181220,332820,1,0,0.44558,2,3
181260,332820,1,0,0.472776,2,3
181300,332820,1,0,0.505383,2,3
181340,332820,1,0,0.532548,2,3
181380,332820,1,0,0.554289,2,2
180580,332780,1,0,0,1,1
180620,332780,1,0,0.0054321,1,1
180660,332780,1,0,0.0484831,1,2
180700,332780,1,0,0.0756869,1,1
180740,332780,1,0,0.113924,1,2
180780,332780,1,0,0.141086,1,2
180820,332780,1,0,0.168336,2,2
180860,332780,1,0,0.206359,2,2
180900,332780,1,0,0.23359,2,1
180940,332780,1,0,0.255343,2,1
180980,332780,1,0,0.287957,2,1
181020,332780,1,0,0.315116,2,1
181060,332780,1,0,0.342321,2,3
181100,332780,1,0,0.364067,2,3
181140,332780,1,0,0.402083,2,3
181180,332780,1,0,0.429289,2,1
181220,332780,1,0,0.4619,2,3
181260,332780,1,0,0.489064,2,3
181300,332780,1,0,0.516258,2,3
181340,332780,1,0,0.548865,2,3
180580,332740,1,0,0,1,2
180620,332740,1,0,0.0264645,1,1
180660,332740,1,0,0.0537889,1,1
180700,332740,1,0,0.0921435,1,1
180740,332740,1,0,0.119308,1,2
180780,332740,1,0,0.157453,1,2
180820,332740,1,0,0.184614,1,2
180860,332740,1,0,0.211843,2,1
180900,332740,1,0,0.249863,2,1
180940,332740,1,0,0.277084,2,1
180980,332740,1,0,0.298835,2,1
181020,332740,1,0,0.331446,2,3
181060,332740,1,0,0.358606,2,3
181100,332740,1,0,0.385807,2,3
181140,332740,1,0,0.407552,2,3
181180,332740,1,0,0.445569,2,1
181220,332740,1,0,0.472773,2,3
181260,332740,1,0,0.505383,2,3
181300,332740,1,0,0.532548,2,3
181340,332740,1,0,0.554289,2,2
180540,332700,1,0,0,1,1
180580,332700,1,0,0.0054321,1,1
180620,332700,1,0,0.0373369,1,1
180660,332700,1,0,0.0703468,1,1
180700,332700,1,0,0.0975136,1,1
180740,332700,1,0,0.135692,1,1
180780,332700,1,0,0.162853,1,1
180820,332700,1,0,0.20096,1,1
180860,332700,1,0,0.228123,2,1
180900,332700,1,0,0.255341,2,2
180940,332700,1,0,0.293359,2,1
180980,332700,1,0,0.320574,2,1
181020,332700,1,0,0.342324,2,3
181060,332700,1,0,0.374932,2,3
181100,332700,1,0,0.402094,2,3
181140,332700,1,0,0.429292,2,3
181180,332700,1,0,0.451037,2,1
181220,332700,1,0,0.489053,2,3
181260,332700,1,0,0.516255,2,3
181300,332700,1,0,0.548865,2,2
180540,332660,1,0,0,1,1
180580,332660,1,0,0.0264645,1,1
180620,332660,1,0,0.0537889,1,1
180660,332660,1,0,0.081222,1,1
180700,332660,1,0,0.113932,1,1
180740,332660,1,0,0.141086,1,1
180780,332660,1,0,0.179208,1,1
180820,332660,1,0,0.20637,1,1
180860,332660,1,0,0.244457,2,1
180900,332660,1,0,0.271622,2,2
180940,332660,1,0,0.298832,2,1
180980,332660,1,0,0.336851,2,1
181020,332660,1,0,0.364062,2,3
181060,332660,1,0,0.38581,2,3
181100,332660,1,0,0.418417,2,3
181140,332660,1,0,0.44558,2,3
181180,332660,1,0,0.472776,2,1
181220,332660,1,0,0.49452,2,3
181260,332660,1,0,0.532537,2,3
181300,332660,1,0,0.554284,2,2
180500,332620,1,0,0,1,1
180540,332620,1,0,0.0122243,1,1
180580,332620,1,0,0.0373395,1,1
180620,332620,1,0,0.0703468,1,1
180660,332620,1,0,0.0975136,1,1
180700,332620,1,0,0.124808,1,2
180740,332620,1,0,0.157461,1,2
180780,332620,1,0,0.184614,1,2
180820,332620,1,0,0.22271,1,2
180860,332620,1,0,0.249874,2,2
180900,332620,1,0,0.287949,2,3
180940,332620,1,0,0.315116,2,3
180980,332620,1,0,0.342321,2,3
181020,332620,1,0,0.380339,2,3
181060,332620,1,0,0.407547,2,3
181100,332620,1,0,0.429295,2,3
181140,332620,1,0,0.4619,2,1
181180,332620,1,0,0.489064,2,3
181220,332620,1,0,0.516258,2,3
181260,332620,1,0,0.538002,2,3
180460,332580,1,0,0,1,1
180500,332580,1,0,0.00135803,1,1
180540,332580,1,0,0.0316663,1,2
180580,332580,1,0,0.0593636,1,1
180620,332580,1,0,0.0812247,1,1
180660,332580,1,0,0.113932,1,1
180700,332580,1,0,0.141086,1,2
180740,332580,1,0,0.168336,1,2
180780,332580,1,0,0.200968,1,2
180820,332580,1,0,0.228123,2,2
180860,332580,1,0,0.266204,2,2
180900,332580,1,0,0.29337,2,3
180940,332580,1,0,0.331438,2,3
180980,332580,1,0,0.358606,2,3
181020,332580,1,0,0.385807,2,3
181060,332580,1,0,0.423826,2,3
181100,332580,1,0,0.451031,2,3
181140,332580,1,0,0.472778,2,1
181180,332580,1,0,0.505383,2,3
181220,332580,1,0,0.532548,2,3
181260,332580,1,0,0.554289,2,3
180420,332540,1,0,0,1,1
180460,332540,1,0,0.00135803,1,1
180500,332540,1,0,0.0264697,1,1
180540,332540,1,0,0.0484965,1,1
180580,332540,1,0,0.0756869,1,1
180620,332540,1,0,0.103027,1,1
180660,332540,1,0,0.12481,2,2
180700,332540,1,0,0.157461,2,2
180740,332540,1,0,0.184614,2,2
180780,332540,1,0,0.211843,2,2
180820,332540,1,0,0.244466,2,2
180860,332540,1,0,0.271622,2,2
180900,332540,1,0,0.309694,2,3
180940,332540,1,0,0.336861,2,3
180980,332540,1,0,0.374924,2,3
181020,332540,1,0,0.402094,2,1
181060,332540,1,0,0.429292,2,1
181100,332540,1,0,0.467311,2,3
181140,332540,1,0,0.494514,2,3
181180,332540,1,0,0.516261,2,3
181220,332540,1,0,0.548865,2,3
180380,332500,1,0,0,1,1
180420,332500,1,0,0.00135803,1,1
180460,332500,1,0,0.0264697,1,1
180500,332500,1,0,0.0484965,1,1
180540,332500,1,0,0.070355,1,1
180580,332500,1,0,0.0921598,1,1
180620,332500,1,0,0.119308,2,1
180660,332500,1,0,0.146576,2,2
180700,332500,1,0,0.168339,2,2
180740,332500,1,0,0.200968,2,2
180780,332500,1,0,0.228123,2,2
180820,332500,1,0,0.255341,2,2
180860,332500,1,0,0.287957,2,2
180900,332500,1,0,0.315116,2,3
180940,332500,1,0,0.353181,2,1
180980,332500,1,0,0.38035,2,1
181020,332500,1,0,0.418409,2,1
181060,332500,1,0,0.44558,2,3
181100,332500,1,0,0.472776,2,3
181140,332500,1,0,0.510795,2,3
181180,332500,1,0,0.537997,2,3
181220,332500,1,0,0.554295,2,3
180340,332460,1,0,0,1,1
180380,332460,1,0,0.00135803,1,1
180420,332460,1,0,0.0264697,1,1
180460,332460,1,0,0.0484965,1,1
180500,332460,1,0,0.070355,1,1
180540,332460,1,0,0.0921598,1,1
180580,332460,1,0,0.113941,2,1
180620,332460,1,0,0.135709,2,1
180660,332460,1,0,0.162853,2,2
180700,332460,1,0,0.190091,2,2
180740,332460,1,0,0.211846,2,2
180780,332460,1,0,0.244466,2,2
180820,332460,1,0,0.271622,2,2
180860,332460,1,0,0.298832,2,1
180900,332460,1,0,0.331446,2,3
180940,332460,1,0,0.358606,2,3
180980,332460,1,0,0.396666,2,3
181020,332460,1,0,0.423837,2,3
181060,332460,1,0,0.461892,2,3
181100,332460,1,0,0.489064,2,3
181140,332460,1,0,0.516258,2,3
181180,332460,1,0,0.554278,2,3
180300,332420,1,0,0,1,1
180340,332420,1,0,0.00135803,1,1
180380,332420,1,0,0.0264697,1,1
180420,332420,1,0,0.0484965,1,1
180460,332420,1,0,0.070355,1,1
180500,332420,1,0,0.0921598,2,1
180540,332420,1,0,0.113941,2,1
180580,332420,1,0,0.135709,2,1
180620,332420,1,0,0.157469,2,1
180660,332420,1,0,0.179224,2,2
180700,332420,1,0,0.20637,2,2
180740,332420,1,0,0.233593,2,2
180780,332420,1,0,0.255343,2,2
180820,332420,1,0,0.287957,2,1
180860,332420,1,0,0.315116,2,2
180900,332420,1,0,0.342321,2,3
180940,332420,1,0,0.374932,2,1
180980,332420,1,0,0.402094,2,3
181020,332420,1,0,0.44015,2,3
181060,332420,1,0,0.467322,2,3
181100,332420,1,0,0.505375,2,3
181140,332420,1,0,0.532548,2,3
181180,332420,1,0,0.554289,2,3
180260,332380,1,0,0,1,1
180300,332380,1,0,0.0054321,1,1
180340,332380,1,0,0.0264697,1,1
180380,332380,1,0,0.0484965,2,1
180420,332380,1,0,0.070355,2,1
180460,332380,1,0,0.0921598,2,1
180500,332380,1,0,0.113941,2,1
180540,332380,1,0,0.135709,2,1
180580,332380,1,0,0.157469,2,2
180620,332380,1,0,0.179224,2,2
180660,332380,1,0,0.200976,2,2
180700,332380,1,0,0.222726,2,2
180740,332380,1,0,0.249874,2,2
180780,332380,1,0,0.277087,2,1
180820,332380,1,0,0.298835,2,2
180860,332380,1,0,0.331446,2,2
180900,332380,1,0,0.358606,2,3
180940,332380,1,0,0.385807,2,3
180980,332380,1,0,0.418417,2,3
181020,332380,1,0,0.44558,2,3
181060,332380,1,0,0.483634,2,3
181100,332380,1,0,0.510806,2,3
181140,332380,1,0,0.548857,2,3
180140,332340,1,0,0,1,1
180180,332340,1,0,0,1,1
180220,332340,1,0,0.00135803,1,1
180260,332340,1,0,0.0122243,1,1
180300,332340,1,0,0.0373369,1,1
180340,332340,1,0,0.0537889,2,1
180380,332340,1,0,0.070355,2,1
180420,332340,1,0,0.0921598,2,1
180460,332340,1,0,0.113941,2,1
180500,332340,1,0,0.135709,2,1
180540,332340,1,0,0.157469,2,1
180580,332340,1,0,0.179224,2,2
180620,332340,1,0,0.200976,2,2
180660,332340,1,0,0.222726,2,2
180700,332340,1,0,0.244474,2,2
180740,332340,1,0,0.26622,2,1
180780,332340,1,0,0.29337,2,1
180820,332340,1,0,0.320577,2,2
180860,332340,1,0,0.342324,2,2
180900,332340,1,0,0.374932,2,3
180940,332340,1,0,0.402094,2,1
180980,332340,1,0,0.429292,2,3
181020,332340,1,0,0.4619,2,3
181060,332340,1,0,0.489064,2,3
181100,332340,1,0,0.527116,2,3
181140,332340,1,0,0.543478,2,3
180020,332300,1,0,0,1,1
180060,332300,1,0,0,1,1
180100,332300,1,0,0,1,1
180140,332300,1,0,0.0122243,1,1
180180,332300,1,0,0.0316606,1,1
180220,332300,1,0,0.0316663,1,1
180260,332300,1,0,0.0484884,1,1
180300,332300,1,0,0.0593662,1,1
180340,332300,1,0,0.081222,2,1
180380,332300,1,0,0.0975136,2,1
180420,332300,1,0,0.113941,2,1
